overlay on / type overlay (rw,relatime,lowerdir=l/2ZDKQKR4C6XJESE4KNV7O4XHFA:l/ARVE6NZ7TH7BBTXBMEOFPXHJPC:l/RYFGHEHGLQUPH7AJ6Q2KPLELRE:l/FX3N2RYYQQXDR66ZCHVAKIMGV3:l/PPYVPEG55IZ3C3XXSQXUSVSAG2:l/2JWRY7KC7MSQECDBKC3EG5TBW2:l/WKJI3KOTI4ISOMVCG25DYOJNYL:l/BZFMIS7IOKW5I4V4WZVGAXRERK:l/W7YA34ODSLX246NA5L7WG3PHBL:l/N6Z6Y32TH72H3MEB7T6G7XSQQP:l/TOPFE3D5UGBOATPWSGJUOMVV74:l/NGDWO33CXXF4II4OLTB3MDS5AL:l/5LDBWTW57IN4DY3WZE7JFABJ23:l/X7QWPNBOLCD3R73TTFFNK74RXJ:l/EBZOGN4NNU53SMK5LKMYUP5SQX:l/KU4IY53IXJZ5SRJZA5IKIP4AWY:l/5RUNPJN5MSHZLOC5BMYISTVP4H:l/NAERL32F4JMFPI4S7FBGKABBDL:l/RTECFCHRK6YPS7IGGAB6J65DKS:l/W3GJF2VWQRBVYFIVZ7PTJSSYRI:l/L427NKOZ2ZRTT37WN537YMY37Y:l/FAIHFINISEASWDR7IRCDGTKBFL:l/6DPSTLIU3A42VEWJW2DGKLOPOX:l/LGDWWVVMYVP22KL67K3WHLDBS5:l/NBJGKMQDYUOUIILDZHIYRJOZ6N:l/3KMWI4MPUF76FSUMBRNJ6K6Q4B:l/OHKCIRVZ77Z7EZSVS4C2VJIK2K:l/WZT7JNENKKOZOZ6CF23J76VOTM:l/DR7X5RXWYVPAVQ533X4K5YKMVT:l/K6I5HFOYGR4BXEPJHPPQHDLNG4:l/PZK6OZCISO3PGW56YX2TJCFAD7:l/CGEMLQ5BB5PA2MHAZKNYCZ7I3P:l/ATJBTD7YVBYUMDDDA7VMT4RDXN:l/DPQCG7WNRDP7NJCYGWXW3ZNLMR:l/UITOW27LI52ILOD5DG6QZCR5DG:l/UX5GHWASI5VEBBENOEOAGBZHIM:l/NLGLHB6CR4ZZWZCEPAYFLOUDYC:l/RAW4DQ3TSFGSZGX6L6JBXRGLET:l/ACJT4KQS24TKOFRBT3KRVIZJED:l/CKPMXGLC2JZI2E5GEP46AWKA4A:l/NQVGYEIBDSQDIUS574D22O3YBZ:l/DNDUH442BE7NTEYF2PUOO6ZAD5:l/DH52RXELYMUEL7JQZNCFZBJUIW:l/H7S76JWB2XIZTCAD7PSA5PPFPD:l/CJLO4PTJFEGLEBH5SNDDJKPMLT:l/JBNKNLA5GWHAAWXG2LN6I2CROG:l/OF5LNVU4VO2B7DZRBY2V7VH7CW:l/3XTA2Y3FVNNGKLGJCZBIS37YNU:l/VCV4BRPHTDBTNQLTMUR2HOIZAI:l/QMNDLIOFE2GNMFD4A7762PU6BO:l/Y7DXIP5RD6G3WCT2ORDHXJB4QK:l/DWUCI4ZV7TA2YGJZRDMRSZC6BF:l/BQRMPFHGEJ7MIG6SGJK63P3MYQ:l/QPK6B7D7GCEAM65YVK77ZSB2W6:l/IGDFYZ6EHOTS6ABURT3MUGYN5H:l/DRQYYM73REVU5MJF2U7ZKCW7JJ:l/5UERFP4SZAQDQ4PUDR7H2Y7TG5:l/DQP7AXAMJPABUJ7RDITYYNU43X:l/F43BQIIULMHJ6HEEKOVW35B73R:l/AFUBSCXB5X4GYEUVIONXWGKLZW:l/6HGAPVPJNSDJM5EJY4MZSX4MQP:l/QLK2NEBH7SKO6ZPHAJKBVUMEPT:l/CPPBJOKMLTQF4MPODURYXLAN2N:l/X2FUUR3BGHBVWHYSSCP4HQL3O5:l/P3IUXHME3AREYERXV2FIK2EC56:l/AIFPJZP3PA646FYU7JRAHZB7ET:l/EN5NSK3EXDPQH3I3XYVBMLHZ2J:l/UBAH2PCY3EAXWPABVMTPJX3QXL:l/CXEOEVSH5TBDSOFZHWSSW4W5BB:l/TU7EUE54CO4ARZWQ6IESESR6JL:l/PV4I5W3GUO7FSFDOX2CBWBG2LC:l/JB3YP2LBIKVQLGB2GYSQTQCI22:l/M37GFPBQEJGUDELEU4WTFA24NF:l/FC5X2TSTUDXXYQWKCWLAVDT2MZ:l/PQSXWYSKSG6EZS6VLZEE7I7I72:l/D5R6V5YTXEZ3JCXOKIYXA7S4GO:l/PJNECXICN4TWXXYZK4YVEDZW2U:l/EEVS372OP5RHKWKTT2EFYKVE5V:l/E7VAOSVX7Q2UGOPOVLY7TLTBB3:l/KIVUYKFA6LHHGRDTMVEKZW5YCW:l/UHIVRFJSLANFLXJL3MXYEF6NKR:l/FUSHO3JRW5KTYM3S5H4KJWEZIF:l/LLXCSFF7XEYQN5EWKR6CBHNINZ:l/YV3DNJZDLOBPVACIRRLSFFOWHV:l/ZHB44F7IJTPDRIE4264BIBHPMQ:l/LSFRKWJN3JLUXXYSSTCEEFYIB4:l/NYDZVL7OCTU2DFZYUC4NXB4NM3:l/VDBGJUB6LPRLKQCDHPONADOIWB:l/5FES73WRER6RNM26EPNCZPV7R4:l/HAIAAHQ3CIWLF4FQSO5P42PJRO:l/BOSLOD3PB2H6QIFSI5K4KQZVYZ:l/XTINQNVJXLE43XNRGJNO4GH6CH,upperdir=133cb613bc941be59f1efbadea1389ec73fe9430a37f1cafd92e90b8c9af94e6/diff,workdir=133cb613bc941be59f1efbadea1389ec73fe9430a37f1cafd92e90b8c9af94e6/work)
proc on /proc type proc (rw,nosuid,nodev,noexec,relatime)
tmpfs on /dev type tmpfs (rw,nosuid,size=65536k,mode=755)
devpts on /dev/pts type devpts (rw,nosuid,noexec,relatime,gid=5,mode=620,ptmxmode=666)
sysfs on /sys type sysfs (rw,nosuid,nodev,noexec,relatime)
tmpfs on /sys/fs/cgroup type tmpfs (rw,nosuid,nodev,noexec,relatime,mode=755)
cgroup on /sys/fs/cgroup/systemd type cgroup (rw,nosuid,nodev,noexec,relatime,xattr,release_agent=/usr/lib/systemd/systemd-cgroups-agent,name=systemd)
cgroup on /sys/fs/cgroup/pids type cgroup (rw,nosuid,nodev,noexec,relatime,pids)
cgroup on /sys/fs/cgroup/cpuset type cgroup (rw,nosuid,nodev,noexec,relatime,cpuset)
cgroup on /sys/fs/cgroup/memory type cgroup (rw,nosuid,nodev,noexec,relatime,memory)
cgroup on /sys/fs/cgroup/devices type cgroup (rw,nosuid,nodev,noexec,relatime,devices)
cgroup on /sys/fs/cgroup/cpu,cpuacct type cgroup (rw,nosuid,nodev,noexec,relatime,cpu,cpuacct)
cgroup on /sys/fs/cgroup/freezer type cgroup (rw,nosuid,nodev,noexec,relatime,freezer)
cgroup on /sys/fs/cgroup/net_cls,net_prio type cgroup (rw,nosuid,nodev,noexec,relatime,net_cls,net_prio)
cgroup on /sys/fs/cgroup/blkio type cgroup (rw,nosuid,nodev,noexec,relatime,blkio)
cgroup on /sys/fs/cgroup/perf_event type cgroup (rw,nosuid,nodev,noexec,relatime,perf_event)
cgroup on /sys/fs/cgroup/hugetlb type cgroup (rw,nosuid,nodev,noexec,relatime,hugetlb)
mqueue on /dev/mqueue type mqueue (rw,nosuid,nodev,noexec,relatime)
shm on /dev/shm type tmpfs (rw,nosuid,nodev,noexec,relatime,size=65536k)
/dev/nvme0n1p1 on /tmp type xfs (rw,noatime,attr2,inode64,noquota)
/dev/nvme0n1p1 on /home/hnelson3 type xfs (rw,noatime,attr2,inode64,noquota)
/dev/nvme0n1p1 on /etc/resolv.conf type xfs (rw,noatime,attr2,inode64,noquota)
/dev/nvme0n1p1 on /etc/hostname type xfs (rw,noatime,attr2,inode64,noquota)
/dev/nvme0n1p1 on /etc/hosts type xfs (rw,noatime,attr2,inode64,noquota)
/dev/nvme0n1p1 on /etc/jupyter/configs type xfs (rw,noatime,attr2,inode64,noquota)
s3fs on /home/hnelson3/work type fuse.s3fs (rw,nosuid,nodev,relatime,user_id=0,group_id=0,allow_other)
